timestamp,count
2020-09-16 17:26:03.571942,64
2020-09-16 17:26:06.970560,64
2020-09-16 17:26:10.333571,64
2020-09-16 17:26:13.668066,64
2020-09-16 17:26:16.959125,64
2020-09-16 17:26:20.315180,64
2020-09-16 17:26:23.652050,64
2020-09-16 17:26:26.960336,64
2020-09-16 17:26:30.299878,64
2020-09-16 17:26:33.627882,64
2020-09-16 17:26:36.935058,64
2020-09-16 17:26:40.277876,64
2020-09-16 17:26:43.577166,64
2020-09-16 17:29:33.600028,67
2020-09-16 17:34:33.946351,71
2020-09-16 17:39:34.288463,71
2020-09-16 17:44:34.692335,68
2020-09-16 17:49:35.024976,71
2020-09-16 17:54:35.361154,73
2020-09-16 17:59:35.710158,73
2020-09-16 18:04:36.061486,75
2020-09-16 18:09:36.409931,73
2020-09-16 18:14:36.791890,72
2020-09-16 18:19:37.170905,50
2020-09-16 18:24:37.589427,46
2020-09-16 18:29:37.968097,49
2020-09-16 18:34:38.357562,54
2020-09-16 18:39:38.693567,55
2020-09-16 18:44:39.067412,55
2020-09-16 18:49:39.437948,55
2020-09-16 18:54:39.790664,54
2020-09-16 18:59:40.228716,53
2020-09-16 19:04:40.618465,55
2020-09-16 19:09:40.957825,50
2020-09-16 19:14:41.317352,50
2020-09-16 19:19:41.698796,50
2020-09-16 19:24:42.051564,52
2020-09-16 19:30:33.601266,57
2020-09-16 19:35:33.939584,54
2020-09-16 19:40:34.903815,53
2020-09-16 19:45:35.418005,51
2020-09-16 19:50:35.892818,53
2020-09-16 19:55:36.458318,53
2020-09-16 20:00:36.955977,55
2020-09-16 20:05:37.617449,58
2020-09-16 20:10:38.135602,56
2020-09-16 20:15:38.491918,56
2020-09-16 20:20:39.037012,56
2020-09-16 20:25:39.523079,57
2020-09-16 20:30:39.902278,59
2020-09-16 20:35:40.281879,57
2020-09-16 20:40:40.671426,56
2020-09-16 21:12:33.570959,27
2020-09-16 21:17:33.987376,27
2020-09-16 21:22:34.347649,26
2020-09-16 21:27:34.828614,25
2020-09-16 21:32:35.225159,25
2020-09-16 21:37:35.595831,25
2020-09-16 21:42:35.952840,21
